,STORE_NUM,UPC,current_est_revenue,current_price,estimated_revenue,mean_revenue_increase,recommended_price,week_1_price,week_2_price
0,12011,31254742735,14.557213648619223,4.97,18.13556935897609,1.7367559394833134,4.32,4.97,4.97
0,12011,1111038080,5.775120514189384,1.42,11.532177665835206,2.7467412669591176,3.6800000000000024,1.58,1.5
0,12011,1111087396,67.07917969464573,3.43,75.35385320280223,0.0034773797617787677,2.89,3.53,3.53
0,12011,1600027564,71.015163563635,3.05,72.63406917866193,0.11135872381144177,2.6499999999999977,3.19,3.19
0,12011,31254742835,11.655106179180727,4.97,12.267714387453053,0.8512647465975433,4.79,4.97,4.97
0,12011,3700031613,10.489180423009438,4.25,12.633236470698762,0.8578288927498179,3.49,4.25,4.25
0,12011,3800031838,83.30779947936304,3.28,136.45825748615806,1.0872015785056406,2.66,3.39,3.39
0,12011,7797502248,10.115991215270055,2.5,10.387251718625162,1.335070674048077,2.1500000000000004,2.5,2.52
0,12011,4116709428,6.128762528124361,4.59,8.126747801186283,0.7705332900187982,5.989999999999964,4.59,4.59
0,12011,1111087398,65.13928188921878,3.31,67.15804812298501,-0.06688069189855089,3.999999999999976,3.49,3.49
0,12011,3000006610,43.73308448706136,2.98,44.30914534025061,13.868840718204904,3.3599999999999812,2.98,2.98
0,12011,88491212971,43.433480436618865,2.85,61.8447447671496,0.8836727816505118,2.32,2.85,2.85
0,12011,3800031829,68.34980979632087,3.36,88.07667732545484,2.2766621028815046,4.369999999999969,3.36,3.36
0,12011,3800039118,78.46273677451278,3.38,79.05803518364601,3.8729065078677274,3.1099999999999954,3.38,3.38
0,12011,7192100337,79.2113847049147,5.8,109.3858970383443,1.3822699899457924,7.789999999999954,5.8,5.8
0,12011,2066200530,35.30051554508332,6.49,75.98225437592833,2.310031945491763,7.4799999999999685,6.49,6.99
0,12011,1111035398,6.214812104522733,2.99,9.444464011650318,0.05289453864552033,5.6899999999999356,2.99,2.99
0,12011,1111009507,12.954535048984214,1.44,15.39008711260415,0.11328755154833256,2.3900000000000015,1.44,1.44
0,12011,3700044982,16.59766972341757,5.23,18.04309228851192,1.6531036292800048,6.689999999999951,5.23,4.86
0,12011,88491201427,111.66531109663161,3.31,156.30430182122362,0.30829748803593937,4.47999999999997,3.31,3.31
0,12011,31254742725,10.975214396650685,4.69,12.258724424336473,0.529462430286958,5.689999999999968,4.69,4.59
0,12011,1111009477,44.674062151097885,1.43,136.38713248976566,1.8481575798807113,2.450000000000001,1.43,1.4
0,12011,88491201426,75.98718825018214,3.31,77.88052063517299,-0.11796705814308947,2.96,3.2,3.31
0,12011,2840004768,15.771378084018663,3.29,28.622160408406167,-0.1300255195013323,2.49,3.29,3.29
0,12011,1111009497,35.22292066483444,1.42,36.309070645203505,-0.24868021636962173,1.2100000000000002,1.44,1.46
0,12011,3000006340,32.201999848464176,3.16,35.2161730539013,1.5074806763062634,2.68,3.16,3.16
0,12011,7192100339,67.30314787575675,5.8,84.78370684673985,0.33997237832491145,7.789999999999954,5.8,5.8
0,12011,7797508006,15.355267033552794,3.29,17.30071038438585,0.20509000904410066,2.54,3.29,3.29
0,12011,1111085319,23.227755536302706,1.77,23.248213484327252,7.719741592749386,1.7200000000000002,1.59,1.65
0,12011,1600027528,96.16848898262705,4.59,103.61342550771863,0.28625248133522807,4.05,4.59,4.59
0,12011,3000006560,54.76903727590995,2.98,59.61076931824643,3.0007227730366735,2.45,2.98,2.98
0,12011,2840002333,5.584147982062779,3.29,8.502847533632288,1.5844521378821543,2.49,3.29,3.29
0,12011,7797508004,12.204178661470024,3.29,12.66340758604252,1.8867950424109092,2.7599999999999945,3.29,3.29
0,12011,4116709448,5.647152317880796,4.59,8.778574932548354,0.43440766871705133,5.989999999999964,4.59,4.59
0,12011,1111085345,58.02402251965832,1.57,58.02516166317814,0.9336156192898355,1.56,1.58,1.65
0,12011,7218063052,30.381702000349815,7.49,30.399638408925632,1.7181364814847666,7.679999999999964,6.99,6.99
0,12011,2840004770,18.02658042892706,3.29,25.24929872175111,0.5988664337481706,2.49,3.29,3.29
